subject,session,trial,item,phase,time,stimEnc,stimRetrieval,pairedWords,cue,expectedAnswer,stim_pair,response_time,rec_success,recall,wordlist_number
M1005,1,0,0,CUEDRECALL,1730928568138.4382,999,False,"['SWAMP', 'SHEET']",['SWAMP'],['SHEET'],LD1_LD2,957.437641723356,intrusion,SWAMP,266
M1005,1,0,1,CUEDRECALL,1730928577278.961,999,False,"['SQUARE', 'THRONE']",['SQUARE'],['THRONE'],LD1_LD2,766.5986394557823,intrusion,SQUARE,249
M1005,1,0,2,CUEDRECALL,1730928586248.4739,999,False,"['PURSE', 'PIPE']",['PURSE'],['PIPE'],LD1_LD2,821.0430839002267,intrusion,PURSE,189
M1005,1,0,0,RECOGNITION,1730928601496.346,999,False,"['BLADE', '']",['BLADE'],new,LD1_LD2,4220.24169921875,correct_rejection,new,999
M1005,1,0,1,RECOGNITION,1730928608479.7456,False,False,"['THRONE', 'SQUARE']",['THRONE'],old,LD1_LD2,1833.10498046875,hit,old,999
M1005,1,0,2,RECOGNITION,1730928615595.1523,999,False,"['MAZE', '']",['MAZE'],new,LD1_LD2,2159.123779296875,correct_rejection,new,999
M1005,1,0,3,RECOGNITION,1730928622634.5552,False,False,"['PIPE', 'PURSE']",['PIPE'],old,LD1_LD2,999,999,999,999
M1005,1,0,4,RECOGNITION,1730928629823.9666,False,False,"['SHEET', 'SWAMP']",['SHEET'],old,LD1_LD2,999,999,999,999
M1005,1,0,5,RECOGNITION,1730928636804.3657,999,False,"['LAMP', '']",['LAMP'],new,LD1_LD2,999,999,999,999
M1005,1,1,0,ENCODING,1730928707522.4104,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,1,1,ENCODING,1730928712454.6926,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,1,2,ENCODING,1730928717503.9814,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,1,0,CUEDRECALL,1730928769645.9636,999,False,"['YARD', 'PASTE']",['YARD'],['PASTE'],LD1_LD2,3506.780045351474,intrusion,YARD,310
M1005,1,1,1,CUEDRECALL,1730928778703.482,999,False,"['TOWN', 'HILL']",['TOWN'],['HILL'],LD1_LD2,829.7505668934241,intrusion,TOWN,283
M1005,1,1,2,CUEDRECALL,1730928787796.002,999,False,"['GEESE', 'LIP']",['GEESE'],['LIP'],LD1_LD2,994.6938775510205,intrusion,GEESE,101
M1005,1,1,0,RECOGNITION,1730928802486.8418,True,False,"['PASTE', 'YARD']",['PASTE'],old,LD1_LD2,999,999,999,999
M1005,1,1,1,RECOGNITION,1730928809547.246,True,False,"['LIP', 'GEESE']",['LIP'],old,LD1_LD2,999,999,999,999
M1005,1,1,2,RECOGNITION,1730928816637.6516,999,False,"['SEED', '']",['SEED'],new,LD1_LD2,999,999,999,999
M1005,1,1,3,RECOGNITION,1730928823704.0557,True,False,"['HILL', 'TOWN']",['HILL'],old,LD1_LD2,999,999,999,999
M1005,1,1,4,RECOGNITION,1730928830820.4626,999,False,"['STRING', '']",['STRING'],new,LD1_LD2,999,999,999,999
M1005,1,1,5,RECOGNITION,1730928837894.8674,999,False,"['BROOK', '']",['BROOK'],new,LD1_LD2,999,999,999,999
M1005,1,2,0,ENCODING,1730928863870.3533,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,2,1,ENCODING,1730928868837.6372,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,2,2,ENCODING,1730928873914.9275,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,2,0,CUEDRECALL,1730928901546.508,999,True,"['SEAL', 'MUD']",['SEAL'],['MUD'],LD1_LD2,1224.263038548753,intrusion,SEAL,211
M1005,1,2,1,CUEDRECALL,1730928910678.0305,999,True,"['PLATE', 'MUG']",['PLATE'],['MUG'],LD1_LD2,2322.675736961451,verbalization,<>,-1
M1005,1,2,2,CUEDRECALL,1730928919670.545,999,True,"['LEAF', 'SLOPE']",['LEAF'],['SLOPE'],LD1_LD2,656.0090702947846,intrusion,LEAF,141
M1005,1,2,0,RECOGNITION,1730928935291.438,False,True,"['MUG', 'PLATE']",['MUG'],old,LD1_LD2,999,999,999,999
M1005,1,2,1,RECOGNITION,1730928942386.844,False,True,"['SLOPE', 'LEAF']",['SLOPE'],old,LD1_LD2,2267.129638671875,hit,old,999
M1005,1,2,2,RECOGNITION,1730928949403.245,999,True,"['SHARK', '']",['SHARK'],new,LD1_LD2,3066.175537109375,miss,old,999
M1005,1,2,3,RECOGNITION,1730928956494.651,999,True,"['KEY', '']",['KEY'],new,LD1_LD2,3826.21875,correct_rejection,new,999
M1005,1,2,4,RECOGNITION,1730928963595.0571,False,True,"['MUD', 'SEAL']",['MUD'],old,LD1_LD2,1526.087158203125,hit,old,999
M1005,1,2,5,RECOGNITION,1730928970586.4568,999,True,"['GOLD', '']",['GOLD'],new,LD1_LD2,2909.166259765625,correct_rejection,new,999
M1005,1,3,0,ENCODING,1730928990151.576,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,3,1,ENCODING,1730928995200.8647,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,3,2,ENCODING,1730929000191.1501,True,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,3,0,CUEDRECALL,1730929039441.3953,999,False,"['SHIELD', 'BUG']",['SHIELD'],['BUG'],LD1_LD2,1105.1927437641725,intrusion,SEAL,211
M1005,1,3,1,CUEDRECALL,1730929048449.9104,999,False,"['CAVE', 'TOOTH']",['CAVE'],['TOOTH'],LD1_LD2,581.4965986394558,intrusion,TEETH,271
M1005,1,3,2,CUEDRECALL,1730929057561.4316,999,False,"['BOOT', 'RAFT']",['BOOT'],['RAFT'],LD1_LD2,676.4852607709751,intrusion,BOOT,25
M1005,1,3,2,CUEDRECALL,1730929057561.4316,999,False,"['BOOT', 'RAFT']",['BOOT'],['RAFT'],LD1_LD2,2192.9251700680275,verbalization,<>,-1
M1005,1,3,0,RECOGNITION,1730929072044.26,True,False,"['TOOTH', 'CAVE']",['TOOTH'],old,LD1_LD2,4296.24560546875,hit,old,999
